1,7:34,12:01,12:16,6:00
2,7:00,12:09,12:12,6:00
3,,,,
4,,,,
5,,,,
6,7:02,12:10,12:57,6:00
7,7:01,12:09,12:18,6:01
8,7:01,12:02,12:10,6:19
9,7:00,12:04,12:39,6:02
10,,,,
11,,,,
12,,,,
13,7:44,12:01,12:35,
14,7:47,12:02,12:04,5:13
15,7:40,12:12,12:13,5:04
16,7:56,12:05,12:14,5:02
17,7:50,12:09,12:21,5:00
18,,,,
19,,,,
20,7:52,12:09,12:09,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,7:53,12:09,12:09,5:01
28,7:53,12:09,12:10,5:00
29,8:01,12:22,12:29,5:00
30,7:55,12:04,12:09,5:02
31,8:01,12:00,12:14,
